abilities,advances_from,advances_to,alignment,cost,hp,unit,level,moves,xp,description,unit_page,unit_id
‒,elvish_archer,elvish_sharpshooter,neutral,37,37,elvish_marksman,2,6,80,"Elves have an intimate connection to the world of faerie, which innately imbues them with a small amount of magic and grants them highly acute senses. This, combined with years of hunting in the deep forests, makes the elves incredibly keen-sighted, a gift which contributes greatly to their mastery of the bow. An elf practiced at archery is capable of hitting a pinhole-sized target from hundreds of paces away and can shoot quickly and precisely enough to split falling branches. Of course, training the body to keep up with the eyes is no easy feat, and realizing this prodigious skill does come with the cost of weakness in close quarters.
Special Notes: This unit’s marksmanship gives it a high chance of hitting targeted enemies, but only on the attack.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Marksman.html,65
‒,elvish_marksman,‒,neutral,51,47,elvish_sharpshooter,3,6,150,"Though not a formal title, ‘Sharpshooter’ is the epithet given to the most gifted Elvish marksmen. These expert archers are capable of feats that, even by Elven standards, border on miraculous: they have the precision to split incoming arrows midair and can loose a second arrow before the first hits, all while maintaining enough power to damage steel armor. A single volley of their arrows is enough to bring down a knight on horseback, and even heavily-armored infantry will survive few additional shots. The sharpshooters of the elves have honed their art to its highest form and are the undisputed masters of archery.
Special Notes: This unit’s marksmanship gives it a high chance of hitting targeted enemies, but only on the attack.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Sharpshooter.html,66
ambush,elvish_archer,elvish_avenger,neutral,38,42,elvish_ranger,2,6,90,"The silent watchers of the forests, rangers are masters of stealth and reconnaissance. Many are explorers and loners, preferring to travel alone along the paths between the towering trees and among the unspoiled natural beauty of their homes, of which they are fiercely protective. While they possess considerable skill in both blade and bow, rangers are a little less adept at fighting other warriors on even terms, preferring instead to ambush their enemies from the shadows in the woods. A surprise attack from rangers can cripple even a force many times their size, and attacking armies often choose to withdraw rather than risk a game of guerrilla warfare with rangers in the forests.
Special Notes: In woodlands, this unit’s ambush skill renders it invisible to enemies unless it is immediately adjacent or has revealed itself by attacking.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Ranger.html,67
ambush,elvish_ranger,‒,neutral,53,55,elvish_avenger,3,6,150,"The curious name of the Elvish ‘Avengers’ comes from a tactic often employed by these master rangers. The enemy is allowed to break through a feint defense and when the vulnerable troops behind the front line follow, these archers break cover and attack, cutting supply lines and surrounding the enemy in one fell stroke. This has, at times, been interpreted as a form of vengeance for their brethren lost earlier in the battle. While not so base in design, it is not at all inaccurate.
Even more than other elves, Avengers are a part of the realm of the forests, spending most of their time living among the arboreal creatures and learning the hidden secrets in the woods. As the keepers of nature, these elves have the propensity to explore the wilds even beyond the boundaries of the forests and are adept at traversing rough terrains like mountains and deserts. Even in such unfamiliar territories, Avengers are already powerful combatants; in their homes in the trees, they are nigh unassailable, capable of assassinating enemies from the shadows with little chance of retaliation. It is this ability which instills the most fear into any invading army, for fighting a force that can barely be tracked or seen in the forests leaves very little room for counterattack and customarily results in crushing defeat.
Special Notes: In woodlands, this unit’s ambush skill renders it invisible to enemies unless it is immediately adjacent or has revealed itself by attacking.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Avenger.html,68
‒,‒,"elvish_captain,elvish_hero",neutral,14,33,elvish_fighter,1,5,40,"Among elves, swordplay is most commonly practiced by rangers and border patrols, who serve primarily as guardians of the forests and more occasionally as small squads for intrusions into other territories. Elvish swordsmanship is known for its emphasis on swift, agile strikes, generating less power than human or orcish warriors, but also leaving less time to react and counter. Most elves can learn the basics of swordplay relatively quickly and will readily pick up the blade when confronted with battle.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Fighter.html,69
leadership,elvish_fighter,elvish_marshal,neutral,32,47,elvish_captain,2,5,90,"Elvish captains usually lead patrols and command garrisons that stand guard over the vast forests in elvish territory. Unlike leaders from other races, they are mostly proficient at navigating small skirmishes rather than large-scale battles, and are especially skilled at defensive maneuvering. Captains typically command small units that remain together for extended periods of time, allowing them to personally mentor and befriend their troops. They are often observed to lead through camaraderie and amicability, but still command great respect from their kin.
Special Notes: The leadership of this unit enables adjacent units of the same side to deal more damage in combat, though this only applies to units of lower level.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Captain.html,70
leadership,elvish_captain,‒,neutral,54,62,elvish_marshal,3,5,150,"Elves are not often the instigators of open war, but will not shy away when the time comes to do battle. Of course, blindly engaging in combat without any strategy or tactic is foolish, and so the elves maintain a small number of strategically-minded commanders at all times. Selected from the most talented captains, marshals undergo extensive training in various military styles, including those of the humans and orcs. They are brilliant, unorthodox strategists who excel at breaking down large battlefronts into smaller skirmishes, transforming ordinary campaigns into dispersed guerrilla warfare. Engaging elves in their own homes is always a daunting task for any invasion force, and it is precisely because of the skillful maneuvering of the marshals that manage the protection of their people.
Special Notes: The leadership of this unit enables adjacent units of the same side to deal more damage in combat, though this only applies to units of lower level.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Marshal.html,71
‒,elvish_fighter,elvish_champion,neutral,30,51,elvish_hero,2,5,90,"Accomplished Elvish warriors are sometimes called ‘Sárcan’, roughly meaning ‘one who has sacrificed in defense’ or ‘one transfigured by experience’. Often translated to ‘Elvish Heroes’ in the human tongue, this name does indicate some level of esteem and prestige, but is not used to glorify the position that these elves hold. Elvish Heroes are those who have survived numerous wars and have outlived many of their friends who fell in prior battles. They have seen all manner of atrocity committed by all races, be it orcs and humans ravaging the natural beauty of the forests, or even their own kind, other elves who are not above slaughtering innocent people out of pride and vengeance. Many years of fighting naturally make these swordsmen highly skilled in melee combat, but the hardships and destruction wrought by war take a great toll on both mind and body. While the Elves realize the necessity of military strength and honor the ‘Sárcanet’ as heroes for their service, such a status is not one often sought after by the majority of Elvenkind.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Hero.html,72
‒,elvish_hero,‒,neutral,48,70,elvish_champion,3,5,150,"Elves are typically peaceable by nature and most will attack only in retaliation for some wrongdoing wrought upon them. However, there are some elves who revel in the glory of battle and deliberately seek combat—purposeful or otherwise—for their own enjoyment. Naturally, most of these warriors live short lives devoted to honing their swordsmanship in an effort to conquer the battlegrounds: only the most talented thereof are capable of surviving constant combat and earning the title of ‘Champion’. Having spent their whole lives refining their prowess with the blade, these elves are exceptionally dangerous and should never be underestimated.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Champion.html,73
‒,‒,‒,neutral,10,41,elvish_lady,3,6,150,"Elves choose their leaders for their wisdom and sensitivity to the balance of universal forces; foresight is what has protected them in times of uncertainty. Their just reign is rewarded by the unflagging fealty of their people, which is the greatest gift for which any ruler could ask.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Lady.html,74
‒,‒,elvish_high_lord,neutral,36,51,elvish_lord,2,6,120,"Succession among the Elvish nobility is a highly structured process determined by a number of stringent constraints. The future leaders of the elves have the difficult task of governing the three-fold aspects of Elvish society: warriors and rangers who defend the forests, peaceable civilians who shy away from combat altogether, and the collective group of healers and mystics who study the art of faerie magic. Being able to reconcile the differences between these factions and effectively lead their people requires considerable personal merit and a deep understanding of all elves, be they warrior, mystic, or pacifist.
Many elves begin training in archery and swordsmanship from a young age, and especially promising adolescent boys of appropriate lineage are selected to study under Enchantresses who have mastered the mystic arts. Since the nature of faerie magic lends itself more to female elves than to male elves, only the most talented learn to temper the volatile way of the faerie and connect themselves to the world of the arcane. Those who prove their personal mettle in swordsmanship and sorcery must then learn to apply their newfound powers wisely, for violent conflict is something never to be taken lightly, and just because a battle can be won does not mean it should be fought in the first place. Reconciling potent combat prowess with diplomatic restraint is difficult for most, but those who can do so are granted the title of Lord and become the next generation of Elvish leadership.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent. This unit’s arcane attack deals tremendous damage to magical creatures, and even some to mundane creatures.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Lord.html,75
‒,elvish_lord,‒,neutral,56,63,elvish_high_lord,3,6,150,"The leaders of elvenkind command an instinctive loyalty from their people that rulers of other races can only envy, and earn it with great mindfulness and wisdom. Quiet and contemplative in times of peace, a High Lord in the full of his wrath is an awesome sight indeed.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent. This unit’s arcane attack deals tremendous damage to magical creatures, and even some to mundane creatures.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20High%20Lord.html,76
‒,‒,elvish_rider,neutral,18,32,elvish_scout,1,9,32,"Although the equines bred by the wood elves are much faster and far more agile than regular horses, they tend to be more fickle and harder to master. It takes many years to train an Elven pony, but once tamed, they are among the most loyal and devoted mounts. These unique horses allow Elvish horsemen to ride at extreme speeds through thick forests with nary a scratch and outpace most other cavalry on open ground. Though these riders possess some skill in wielding swords and bows, their greatest effectiveness comes from their ability to scout and outmaneuver enemy forces rather than engage in combat directly. Elvish scouts are most often used as messengers and support units and are adept at quickly transferring information between patrols and skirmish groups, whom they also reinforce when necessary.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Scout.html,77
‒,elvish_scout,elvish_outrider,neutral,31,46,elvish_rider,2,10,75,"The prevalence of guerrilla tactics in Elven strategy results in great emphasis on maintaining highly mobile units capable of fighting on an adaptable battlefront. This style of warfare requires rapid communication between small skirmish groups and the ability to quickly transfer troops between combat zones. Experienced Elvish riders know this well and thus devote most of their time to improving their horsemanship rather than their individual fighting skills. The speed at which they travel through the forest would be suicidal for any other cavalry, and they are tenacious enough to ride for as much as two or three days at a time without resting. While the intelligence and communication these horsemen provide is invaluable to Elven tactics, the lack of combat prowess and front line engagement means that Elvish riders are the oft unsung heroes of war, left supporting their brethren from the back lines.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Rider.html,78
‒,elvish_rider,‒,neutral,43,57,elvish_outrider,3,10,150,"Elvish Outriders are trained as the royal couriers of the elven kingdoms. Despite the peaceful nature of their people, their experience makes them quite deadly in combat. Only the most dedicated exceed these elves’ skill as mounted archers — in fact, most would be hard pressed to equal it standing on solid ground.
The speed of these soldiers allows the elves to strike when and where they choose when fighting on their home ground, a fact that has saved many of their number from death.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Outrider.html,79
heals++4,‒,"elvish_druid,elvish_sorceress",neutral,15,26,elvish_shaman,1,5,32,"Being partly faerie in nature, elves have an inherent capability for magic. This is realized in their affinity with the natural world, which they can call upon as an ally in combat. Enemies wandering in their forests may soon find themselves entangled by roots and hindered by the very ground they stand on.
The healing abilities of the elves are also remarkable, and of capital use in battle.
Special Notes: This unit is able to slow its enemies, halving their movement speed and attack damage until they end a turn. This unit is capable of basic healing.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Shaman.html,80
"cures,heals++8",elvish_shaman,elvish_shyde,neutral,34,36,elvish_druid,2,5,80,"The magic of the wood-elves is poorly suited for combat, but effective nonetheless. The forests in which they thrive can become quickened by a word of command, and will lash out at those who threaten their peace.
The chief ability of Druids lies in healing, and it is for this skill that they are revered by their people.
Special Notes: This unit is able to slow its enemies, halving their movement speed and attack damage until they end a turn. This unit is capable of healing those around it, and curing them of poison. This unit has magical attacks, which always have a high chance of hitting an opponent.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Druid.html,81
"cures,heals++8",elvish_druid,‒,neutral,52,46,elvish_shyde,3,6,150,"Devotion to the path of faerie may eventually transform an elf maiden into a creature of both worlds. Guided by a power which is little understood, these beautiful stewards of the elven forests epitomize the grace and mystery of their people.
Special Notes: This unit is able to slow its enemies, halving their movement speed and attack damage until they end a turn. This unit is capable of healing those around it, and curing them of poison. This unit has magical attacks, which always have a high chance of hitting an opponent.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Shyde.html,82
‒,elvish_shaman,elvish_enchantress,neutral,34,41,elvish_sorceress,2,5,100,"The world of faerie is far more potent than the corporeal world. Simply bringing some of this world into our own can have violent results. This is well-understood by the elves, although rarely used with malicious intent; doing so is no easy task, and is a very ill-regarded use of their strength.
Those able to do so are roughly titled as ‘sorceresses’ by other races; and certainly are capable of acting the part.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent. This unit is able to slow its enemies, halving their movement speed and attack damage until they end a turn. This unit’s arcane attack deals tremendous damage to magical creatures, and even some to mundane creatures.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Sorceress.html,83
‒,elvish_sorceress,elvish_sylph,neutral,55,50,elvish_enchantress,3,5,180,"The magic of the elves is wholly unlike that of humanity, so much so that humans are almost universally incapable of understanding it, let alone using it. Likewise, those who are masters of it are equally enigmatic; though it can be said that they are revered by their people, very little can be said about their actual function or purpose within that society.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent. This unit is able to slow its enemies, halving their movement speed and attack damage until they end a turn. This unit’s arcane attack deals tremendous damage to magical creatures, and even some to mundane creatures.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Enchantress.html,84
‒,elvish_enchantress,‒,neutral,67,60,elvish_sylph,4,6,200,"Rarely seen, the sage-like Sylphs are masters of both their faerie and mundane natures. They are possessed of wondrous, and sometimes terrifying powers. Legends concerning these have given other races a healthy fear of the elves.
Special Notes: This unit is able to slow its enemies, halving their movement speed and attack damage until they end a turn. This unit has magical attacks, which always have a high chance of hitting an opponent. This unit’s arcane attack deals tremendous damage to magical creatures, and even some to mundane creatures.",https://units.wesnoth.org/1.14/mainline/en_US/Elvish%20Sylph.html,85
‒,‒,elder_falcon,neutral,12,18,falcon,0,8,24,"Seen as status symbols of the nobles, falcons are precious possessions normally used for sport. The same techniques are employed to rend and tear foes on the battlefield, and their great speed is a boon to scouting out the land.
Special Notes: Using a charging attack doubles both damage dealt and received; this does not affect defensive retaliation.",https://units.wesnoth.org/1.14/mainline/en_US/Falcon.html,86
‒,falcon,‒,neutral,18,27,elder_falcon,1,9,50,"Elder Falcons bear the telltale scars of veteran warriors from protecting their masters, their bodies proof of repeated dives into a swirling melee. Stronger and faster than their younger kin, they are rumored to hit with enough force to remove an enemy's head. 
Special Notes: Using a charging attack doubles both damage dealt and received; this does not affect defensive retaliation.",https://units.wesnoth.org/1.14/mainline/en_US/Elder%20Falcon.html,87
‒,‒,"goblin_impaler,goblin_rouser",chaotic,9,18,goblin_spearman,0,5,18,"In any race, there are always those rare individuals who, by stroke of bad luck, are born much smaller and weaker than the rest of their kind. For Orcs, however, such occurrences are extraordinarily common, with there usually being several runts born in each litter. Known as ‘Goblins’, these sickly creatures nearly always live short, brutal lives, most used merely as fodder against an enemy of their larger siblings' choosing while equipped with only the crudest of spears.",https://units.wesnoth.org/1.14/mainline/en_US/Goblin%20Spearman.html,88
‒,goblin_spearman,‒,chaotic,13,26,goblin_impaler,1,5,50,"Goblins are used by the orcs as skirmishers to disrupt the enemy’s battle line. Those who manage to survive their first few battles equip themselves with a long spear to compensate for their short reach, and better armor to guard their diminutive frames.
Special Notes: The length of this unit’s weapon allows it to strike first in melee, even in defense.",https://units.wesnoth.org/1.14/mainline/en_US/Goblin%20Impaler.html,89
leadership,goblin_spearman,‒,chaotic,13,31,goblin_rouser,1,5,50,"Standard-bearers are an oddity amongst goblins. A goblin who has survived enough battles to be considered a veteran is rare enough, and it is rarer still for the other goblins to recognize and respect his veteran status. Nonetheless, a rouser’s frenzied goading effectively steels the less veteran fighters to strive harder and longer before they die.
Special Notes: The leadership of this unit enables adjacent units of the same side to deal more damage in combat, though this only applies to units of lower level.",https://units.wesnoth.org/1.14/mainline/en_US/Goblin%20Rouser.html,90
‒,‒,‒,neutral,40,44,gryphon,2,9,100,"These majestic and powerful creatures are masters of the sky. Gryphons are both dangerous and wary of other intelligent creatures, and thus should not be disturbed without a good reason.",https://units.wesnoth.org/1.14/mainline/en_US/Gryphon.html,91
‒,‒,gryphon_master,neutral,24,34,gryphon_rider,1,8,38,"Only a few are able to bond with the mighty Gryphons. Those who do may become Gryphon Riders, and discover the world of the skies upon the backs of these flying beasts.",https://units.wesnoth.org/1.14/mainline/en_US/Gryphon%20Rider.html,92
‒,gryphon_rider,‒,neutral,37,51,gryphon_master,2,10,100,"Gryphon Masters have long experience flying the Gryphons, which have become an extension of themselves. This special relationship makes the heart of the earth-bound tremble, for these mighty birds of prey may strike from anywhere.",https://units.wesnoth.org/1.14/mainline/en_US/Gryphon%20Master.html,93
‒,‒,dragoon,lawful,17,34,cavalryman,1,8,40,"Cavalrymen are distinguished from horsemen by their tactics and equipment. A cavalryman wears heavier armor, and carries a sword and shield, rather than a lance. Their tactics do not include charging; instead they maneuver to slash with a sword, using both horse and rider as an effective tool of melee.
Cavalrymen are very useful for taking and holding positions on open ground, for screening friendly soldiers, and also for scouting work.
Special Notes: This unit has a defense cap on certain terrain types — it cannot achieve a higher defense rating on mixed terrains with such terrain types.",https://units.wesnoth.org/1.14/mainline/en_US/Cavalryman.html,94
‒,cavalryman,cavalier,lawful,34,49,dragoon,2,9,95,"The more talented cavalrymen in the armies of Wesnoth are trained in the use of the crossbow, and matched with much more powerful steeds. Well-armored, and skilled in the use of their swords, these soldiers can drive forward and hold the ground they take. Their mobility and resilience make them of great value on the battlefield.
Special Notes: This unit has a defense cap on certain terrain types — it cannot achieve a higher defense rating on mixed terrains with such terrain types.",https://units.wesnoth.org/1.14/mainline/en_US/Dragoon.html,95
‒,dragoon,‒,lawful,52,64,cavalier,3,9,150,"Cavaliers are masters at the use of both sword and crossbow from horseback. Their combination of striking power and mobility is fearsome; and they have a reputation for dash and aggressiveness to match it. The daring deeds of Cavaliers are the subject of many a tale and song.
Special Notes: This unit has a defense cap on certain terrain types — it cannot achieve a higher defense rating on mixed terrains with such terrain types.",https://units.wesnoth.org/1.14/mainline/en_US/Cavalier.html,96
‒,‒,dark_sorcerer,chaotic,16,28,dark_adept,1,5,48,"To attract any practitioners, the lure of black magic must be a great prize indeed, for anyone caught practicing the art in the civilized world is subject to a death sentence. And yet there are those who pursue this art, for the prize offered is nothing less than immortality. Hidden away in secret cults, or initiated into the dark orders of the underworld, the training which these fanatics must endure often drives them to exhaustion and enfeeblement.
In such condition, their only weapon is the craft they have so committed themselves to learning.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent. This unit’s arcane attack deals tremendous damage to magical creatures, and even some to mundane creatures.",https://units.wesnoth.org/1.14/mainline/en_US/Dark%20Adept.html,97
‒,dark_adept,"lich,necromancer",chaotic,32,48,dark_sorcerer,2,5,90,"The dread inspired by black magic is enhanced by the secrecy and fell rumors which surround it. Dark sorcerers have begun to unlock the secrets of life and death, the latter of which is all too easy to inflict. This labor gives the first glimmerings of the connection between the soul and inert matter, and the first successful experiments in manipulating this bond. The terrible unknown that lurks beyond death is glimpsed, and will inevitably be fathomed.
Despite any design they may have of using this to wrest their own immortality from nature’s grasp, the first results of their work have immediate, and unpleasant applications. The life they breathe into dead matter can create servants for them, servants which will work, but which will also kill, and will never question their masters. These creations have a loyalty any tyrant would dream of, and it is tempting to those with even the slightest desire for power.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent. This unit’s arcane attack deals tremendous damage to magical creatures, and even some to mundane creatures.",https://units.wesnoth.org/1.14/mainline/en_US/Dark%20Sorcerer.html,98
submerge,dark_sorcerer,‒,chaotic,50,60,lich,3,6,150,"A lich is the physical embodiment of black magic’s first goal: the quest to achieve immortality. Though a great deal is sacrificed in the rebirth, in becoming a lich one cheats death of that which truly gives it terror. For it is the mind that is retained, and the spirit which follows, though the body may wither away.
It is not known, save perhaps by the inner circles of necromancy, whether life is prolonged indefinitely or simply extended. The fact that this question can be raised at all is a testament to the magnitude of what their order has achieved.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent. During battle, this unit can drain life from victims to renew its own health. This unit’s arcane attack deals tremendous damage to magical creatures, and even some to mundane creatures. This unit can move unseen in deep water, requiring no air from the surface.",https://units.wesnoth.org/1.14/mainline/en_US/Lich.html,99
‒,dark_sorcerer,‒,chaotic,50,70,necromancer,3,5,150,"One of the pinnacles of what is considered ‘black magic’ is the art of necromancy, the terrible ability to awaken the dead with false life. This discovery alone caused humanity’s condemnation of black magic, for the nightmarish things it has made real have given fear a vast new arsenal.
This ability, in all aspects, is the first step towards cheating death of its ultimate prize.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent. Foes who lose their life to the plague will rise again in unlife, unless they are standing on a village. This unit’s arcane attack deals tremendous damage to magical creatures, and even some to mundane creatures.",https://units.wesnoth.org/1.14/mainline/en_US/Necromancer.html,100
‒,‒,‒,neutral,65,60,elder_mage,5,6,250,"Once great, Elder Magi have seen their power a little diminished from wearying years of battle. Nevertheless they remain feared on the battlefield on account of their powerful lightning bolts.
Special Notes: This unit has magical attacks, which always have a high chance of hitting an opponent.",https://units.wesnoth.org/1.14/mainline/en_US/Elder%20Mage.html,101
skirmisher,‒,duelist,lawful,16,28,fencer,1,6,42,"Fencers belong to a school of thought that considers the armor most soldiers wear in combat to be their own worst enemy. While armor can only soften a blow, evading it leaves the defender completely unharmed. Being able to reliably dodge any offensive move is a luxury only afforded to the fit of body, and then only to those who endure rigorous training.
Outfitted with only a dagger and saber, fencers are light on their feet and useful in many situations where their armor-bound peers are at a disadvantage. They relish dancing circles around troops like heavy infantry, mocking the weight of their full armor.
Special Notes: This unit’s skill at skirmishing allows it to ignore enemies’ zones of control and thus move unhindered around them.",https://units.wesnoth.org/1.14/mainline/en_US/Fencer.html,102
skirmisher,fencer,master_at_arms,lawful,32,44,duelist,2,7,90,"It is a peculiar custom of Wesnoth’s nobility that they typically enroll their sons into one of two orders of armigers, training them either in the art of horsemanship or fencing. Duelists are so named for an unfortunately common practice of young aristocrats, for whom the sting of insult, whether real or fancied, can incite a rash demonstration of their natural right.
Experienced fencers carry with them a small crossbow that is easily concealed under a coat or cape. Slow to load and sometimes thought dishonorable to use, it is in fact very useful, and those of their ranks who live long enough to be veterans typically do so by making such concessions to utility and survival.
Special Notes: This unit’s skill at skirmishing allows it to ignore enemies’ zones of control and thus move unhindered around them.",https://units.wesnoth.org/1.14/mainline/en_US/Duelist.html,103
skirmisher,duelist,‒,lawful,44,57,master_at_arms,3,7,150,"Master fencers have an envied place in life. Though the journey to their station was a dangerous way of life, they have reached the time wherein they reap its rewards. Famed for their skill and dashing manner, these gentlemen have the bearing of natural aristocrats, and are followed by the eyes of many a high born lady.
They usually have the luxury of choosing their appointments, and are free to roam the land should they so elect. Often, they will be found as the captains of a castle guard, or as the master of a military academy, positions in which their flamboyant nature is not only accepted, but is perhaps even useful.
Special Notes: This unit’s skill at skirmishing allows it to ignore enemies’ zones of control and thus move unhindered around them.",https://units.wesnoth.org/1.14/mainline/en_US/Master%20at%20Arms.html,104
‒,‒,shock_trooper,lawful,19,38,heavy_infantryman,1,4,40,"Heavy infantry are brawny fighters clad in full plate and wielding massive impact weapons. Though they fight with unmatched power in melee combat, they have poor mobility and are best employed in static defense of fortified positions. A few of these in battle line will stiffen it considerably, albeit at an obvious cost in tactical flexibility.",https://units.wesnoth.org/1.14/mainline/en_US/Heavy%20Infantryman.html,105
‒,heavy_infantryman,iron_mauler,lawful,35,52,shock_trooper,2,4,110,"Shock troopers are the elite of the heavy infantry, and a significant part of their use is mere intimidation. The only men who can enter their ranks are prodigiously well-built, and when clad in black plate brimming with spikes, they are a fearsome sight to behold. The sight of Shock Troopers breaking an enemy often does the same to the morale of any opposition, who sometimes wonder if such armor covers monsters, rather than men. The drawback of such heavy armor is, of course, the time it takes to move into and out of combat.",https://units.wesnoth.org/1.14/mainline/en_US/Shock%20Trooper.html,106
‒,shock_trooper,‒,lawful,50,64,iron_mauler,3,4,150,"Iron Maulers are given their name for reasons which are all too obvious to their foes. The men within these suits of armor can match ogres in contests of strength, and are marked as the champions of the castle guards in which they serve. They are, however, expensive to maintain, and cannot be sent to distant battles without a full convoy of servants to support them.
Though staggering in melee combat, there are many drawbacks to being outfitted in this way; Iron Maulers tire easily, and know all too well that they cannot run on the battlefield. Too often have they seen a distant comrade fall, yet were powerless to reach the scene in time to help.",https://units.wesnoth.org/1.14/mainline/en_US/Iron%20Mauler.html,107
‒,‒,"knight,lancer",lawful,23,38,horseman,1,8,44,"Often hailing from the wilder and untamed regions of Wesnoth, Horsemen are trained from childhood to ride and to follow a strict code of honor. A charge made by a horseman is a powerful though risky tactic, the worth of which has been proven time and time again on the battlefield. Horsemen excel against most infantry, especially those who have fallen out of line, but must take care against both spearmen and archers for whom their large size provide inviting targets.
Special Notes: Using a charging attack doubles both damage dealt and received; this does not affect defensive retaliation. This unit has a defense cap on certain terrain types — it cannot achieve a higher defense rating on mixed terrains with such terrain types.",https://units.wesnoth.org/1.14/mainline/en_US/Horseman.html,108
‒,horseman,"paladin,grand_knight",lawful,40,58,knight,2,8,120,"Horsemen of skill and discipline are promoted to Knights. Veterans of combat, they have seen the often-fatal results of a failed charge, and have learnt discretion in its use. Knights, therefore, carry swords in their armament, and practice tactics which, although requiring of much more patience, are less risky than a charge. Their lances are still at the ready, however, and growing experience with these weapons makes them deadlier at the tilt.
Special Notes: Using a charging attack doubles both damage dealt and received; this does not affect defensive retaliation. This unit has a defense cap on certain terrain types — it cannot achieve a higher defense rating on mixed terrains with such terrain types.",https://units.wesnoth.org/1.14/mainline/en_US/Knight.html,109
‒,knight,‒,lawful,58,78,grand_knight,3,7,150,"Grand Knights have reached the acme of skill with sword and lance. Wearing full plate, and riding steeds bred more for power than for speed, these warriors form the core of any serious cavalry force. A grand knight at the head of a charge is a terrifying sight for infantry, and is often enough to break right through a defensive line.
Special Notes: Using a charging attack doubles both damage dealt and received; this does not affect defensive retaliation. This unit has a defense cap on certain terrain types — it cannot achieve a higher defense rating on mixed terrains with such terrain types.",https://units.wesnoth.org/1.14/mainline/en_US/Grand%20Knight.html,110
heals++4,knight,‒,lawful,58,65,paladin,3,8,150,"Knights of the highest virtue, Paladins have sworn their strength not to king and crown, but to ideals themselves; of chivalry, and the stewardship of everything that is good. They may serve in the armies of the world, but their first loyalties often lie with groups of their own making; secret, monastic orders that cross political and cultural boundaries. Rulers are sometimes wary of them, for the paladins’ loyalty is only as strong as the liege’s apparent virtue. This has led the more darkly ambitious to either attempt to defame and disperse these groups, or more rarely, to conjure elaborate deceptions to keep these otherwise staunchly loyal troops in service.
Full paladins are generally not quite as fearsome as the ‘Grand Knights’ that champion most armies, but they are first-class fighters nonetheless. Additionally, their wisdom and piety grants these warrior monks certain curious abilities; a paladin is very powerful in fighting magical or unnatural things, and most have some skill at medicine and healing.
Special Notes: Using a charging attack doubles both damage dealt and received; this does not affect defensive retaliation. This unit’s arcane attack deals tremendous damage to magical creatures, and even some to mundane creatures. This unit is capable of basic healing. This unit has a defense cap on certain terrain types — it cannot achieve a higher defense rating on mixed terrains with such terrain types.",https://units.wesnoth.org/1.14/mainline/en_US/Paladin.html,111
‒,horseman,‒,lawful,40,50,lancer,2,10,100,"Lancers are among the bravest and most feared riders in all of Wesnoth. Clad in minimal armor, they free themselves to ride swiftly, faster than any of their peers. The daring tactics they employ are like a double-edged sword, for they often win either glory or a swift death. Lancers excel in hunting down infantrymen who have made the mistake of breaking formation, and in piercing defensive lines. However, they have limited use in defense.
Special Notes: Using a charging attack doubles both damage dealt and received; this does not affect defensive retaliation. This unit has a defense cap on certain terrain types — it cannot achieve a higher defense rating on mixed terrains with such terrain types.",https://units.wesnoth.org/1.14/mainline/en_US/Lancer.html,112
